奶茶店名称,地址,纬度,经度
蜜雪冰城(传媒店),藏龙北街商业街100号,30.445783,114.429268
蜜雪冰城(仓埠店),武滨路42号,30.839786,114.60968
蜜雪冰城(余华岭店),还建住宅H2地块余华岭佳园3-105-1号商铺,30.66344,114.290576
蜜雪冰城(武汉纺织大学外经贸学院校内店),经济开发区藏龙岛街道武汉纺织大学外经贸学院校内7栋11号商铺,30.392546,114.423029
蜜雪冰城(天河店),武汉市天河街道学府路22号,30.811203,114.225976
茶百道(二中店),中山大道1576号,30.61199,114.315406
茶百道(江汉路店),江汉一路璇宫电影院对面,30.587071,114.296823
茶百道(楚河汉街店),同成富苑裙楼1层5室A0103-1号房,30.562109,114.348637
茶百道(轻工大店),环湖中路36号轻工大学点点超市内1号商铺,30.660048,114.231166
茶百道(南湖店),建安街361号,30.510327,114.330697
茶百道(众圆广场店),建设二路36号附7号,30.632268,114.381378
茶百道(大智路店),中山大道1032号,30.593593,114.303288
茶百道(香港路店),香港路173号第一档门面,30.608861,114.29288
茶百道(左岭新城店),九龙湖街左岭新城三社区（超马鲜生旁）,30.496279,114.626932
茶百道(世达广场店),高新六路16号世达广场1楼A002号铺,30.444195,114.447759
茶百道(藏龙岛美院店),栗庙南路藏龙岛栗庙新村D003号商铺,30.394848,114.426292
茶百道(江夏永旺店),文化大道199号永旺超市一楼706号商铺,30.40228,114.325658
茶百道(汉商银座购物中心店),汉阳大道139号汉商银座B栋B1F-25,30.555077,114.273806
茶百道(阳逻广场店),阳逻街阳光大道317号,30.668222,114.573747
茶百道(武汉荟聚宜家广场),园博大道荟聚中心4楼西贝旁,30.622935,114.173861
茶百道(未来城店),珞狮南路147号未来城BC栋裙楼1层19号,30.531362,114.359602
茶百道(雪松路店),雪松路26号,30.598149,114.273539
茶百道(华农店),狮子山大道华中农业大学市场管理办公室步行街服务楼C32号门面,30.481211,114.35662
茶百道(金银湖199店),金银湖大厦,30.639186,114.211774
茶百道(江发路店),江旺路8号红T时尚创意街区5栋1层商亭,30.628192,114.242252
茶百道(雄楚1号店),东湖新技术开发区雄楚大道888号金地雄楚一号一期AXC1F1025号铺子,30.504027,114.396892
茶百道(粮道街店),湖北省武汉市武昌区粮道街244附1号茶百道,30.5528,114.318446
茶百道(华科店),华中科技大学东校区启明路,30.516487,114.438242
茶百道(庙山店),纸坊街道江夏大道庙山站19号,30.419319,114.37922
茶百道(泛悦汇店),中山路泛悦汇负一楼025商铺（昙华林）,30.557641,114.32287
茶百道(黄陂店),百秀街96号,30.885881,114.379889
茶百道(华生汉口城市广场店),长丰村汉丹铁路以南华生·汉口城市广场南区D1栋b单元1_2层,30.618199,114.213562
茶百道(群星城店),福星惠誉·群星城20号负一楼,30.590797,114.356028
茶百道(二七路店),二七路18附36号,30.632701,114.320972
茶百道(武展店),解放大道374号武展购物中心回廊A7、8铺（近中山公园地铁站B出口）,30.587384,114.279248
茶百道(理公馆店),工大路与雄楚大道交叉口理公馆9号商铺,30.519301,114.352006
茶百道(武汉恩施街店),黄州街16附5号,30.627406,114.401277
茶百道(印象城店),和平大道印象城in巷L1-39商铺,30.638051,114.397358
茶百道(东湖景园店),东湖景园,30.590401,114.380269
茶百道(范湖万达店),云彩路198号武汉范湖万达广场B1层,30.609347,114.262159
茶百道(百瑞景店),瑞景路8号百瑞景中央生活区商业街4栋1层1室,30.527181,114.340585
茶百道(阳光100店),湖北省武汉市江夏区杨桥湖大道2号阳光100大湖第四期53B-104号,30.408121,114.419013
茶百道(大泽东西湖中心广场店),东吴大道83号,30.6297,114.145173
茶百道(金地澜菲溪岸店),芳草六街金地澜菲溪岸J8区E22栋1-2层2号商铺,30.519171,114.218683
茶百道(经开万达店),体育路万达广场A区S1栋1层B7室,30.512274,114.181013
茶百道(金融港店),光谷大道77号光谷金融港创客星106-1,30.461978,114.428043
茶百道(万松园店),万松园路78号附1,30.590694,114.274898
茶百道(解放公园店),解放公园路41号育才高中旁边,30.609632,114.305933
茶百道(武汉大学正门店),珞南街明家湾武大路66号,30.538397,114.362983
茶百道(九峰店),玉合巷三星苑1楼S41号,30.50828,114.48975
茶百道(武汉黄陂横店),蓝色星城三期1.3幢1层17号,30.804827,114.300703
茶百道(硚口越秀店),中山大道越秀·星汇云锦,30.576956,114.256857
茶百道(轻工大学店),公园南路常青公寓A栋1楼A-1号门面,30.64631,114.252516
茶百道(新福茂店),新福路新福茂中央广场F1层F166号,30.586719,114.038878
茶百道(青山商场店),沿港路青山百货商场1层,30.644821,114.410202
茶百道(万隆广场店),白沙洲大道404号万隆广场F1层,30.525126,114.310508
茶百道(销品茂店),中商世界里·鹏程销品茂购物中心五楼,30.594144,114.349148
茶百道(恒大影城店),柏环二路恒大城市广场1层17附47号,30.666854,114.177394
茶百道(广宏汇店),南湖大道48-37号,30.486701,114.339594
1点点(古田凯德店),古田二路凯德广场B1层48B,30.603307,114.200312
