lon,lat,name,address,pname,cityname,business_area,type
114.60124640331216,30.832646767917325,中国农业银行武汉仓埠支行,仓埠街开源街9号明峰嘉苑8栋1-2层11-12号,湖北省,武汉市,长江新区,金融保险服务;银行;中国农业银行
114.8076641414853,30.84391446290111,中国农业银行(武汉文昌支行),齐安大道大街口,湖北省,武汉市,邾城,金融保险服务;银行;中国农业银行
114.79728764616128,30.849229616649367,武汉农村商业银行(北城支行),邾城街80号,湖北省,武汉市,邾城,金融保险服务;银行;农村商业银行
114.56364646522262,30.70351144730823,中国工商银行24小时自助银行,余泊大道与汉施大道交叉口西60米,湖北省,武汉市,长江新区,金融保险服务;自动提款机;中国工商银行ATM
114.61128601257055,30.790531141636347,武汉农村商业银行(周铺支行),仓埠街周铺村周铺商场,湖北省,武汉市,长江新区,金融保险服务;银行;农村商业银行
114.64388473681508,30.589279822537495,中国邮政储蓄银行(双柳营业所),双柳街,湖北省,武汉市,双柳,金融保险服务;银行;中国邮政储蓄银行
114.97308785516577,30.945844356162713,武汉农村商业银行(徐古支行),徐古社区5号(徐古街道财政所东北),湖北省,武汉市,,金融保险服务;银行;农村商业银行
114.64510426662885,30.59162382461909,武汉农村商业银行(双柳支行),学林路160号,湖北省,武汉市,双柳,金融保险服务;银行;农村商业银行
114.66916300002875,30.87652672411338,中国邮政储蓄银行(武汉市李集营业所),李集街影院街道3号,湖北省,武汉市,新洲区李集未草刘湾(城区外),金融保险服务;银行;中国邮政储蓄银行
114.7065989430608,30.77930304427718,中国农业银行(武汉汪集支行),汪集街汪盛路88号,湖北省,武汉市,汪集,金融保险服务;银行;中国农业银行
114.78487394167315,30.92794049553225,武汉农村商业银行营业厅,龙丘大街385号,湖北省,武汉市,,金融保险服务;银行;农村商业银行
114.6356591571686,30.899234948409298,武汉市农村商业银行(方杨支行),仓埠街林岗街道,湖北省,武汉市,,金融保险服务;银行;农村商业银行
114.52216958994607,30.711281075942615,中国建设银行24小时自助银行(汉施路辅路支行),汉施路1号武汉生物工程学院附近,湖北省,武汉市,长江新区,金融保险服务;自动提款机;中国建设银行ATM
114.9207411380165,30.83629491818677,中国农业银行(旧街分理处),武政路5号,湖北省,武汉市,旧街,金融保险服务;银行;中国农业银行
114.56298852762436,30.66493854971326,中国建设银行24小时自助银行(阳逻开发区支行),阳逻经济开发区阳光大道238号,湖北省,武汉市,长江新区,金融保险服务;自动提款机;中国建设银行ATM
114.66803258412851,30.874433097454137,中国农业银行(新洲李集支行),府场街36号,湖北省,武汉市,,金融保险服务;银行;中国农业银行
114.55824724007935,30.657422197993643,中国工商银行24小时自助银行(武汉新阳支行),阳光大道113-115,湖北省,武汉市,阳逻,金融保险服务;自动提款机;中国工商银行ATM
114.79565817173695,30.843470238129367,中国建设银行(武汉邾城支行),农业农村局北门西150米,湖北省,武汉市,邾城,金融保险服务;银行;中国建设银行
114.79189232388657,30.846101865607434,中国邮政储蓄银行(邾城支行),新洲大街46号,湖北省,武汉市,邾城,金融保险服务;银行;中国邮政储蓄银行
114.7520389362813,30.927425287805036,中国农业银行(武汉凤凰支行),凤凰镇凤亭大道1号附1号,湖北省,武汉市,,金融保险服务;银行;中国农业银行
114.8018785352988,30.84633394349356,汉口银行(新洲大街社区支行),新洲大街71附近,湖北省,武汉市,邾城,金融保险服务;银行;银行
114.80755493100806,30.843807327721365,中国农业银行24小时自助银行(武汉文昌支行),文昌大道237号(近龙城华庭),湖北省,武汉市,邾城,金融保险服务;自动提款机;中国农业银行ATM
114.55988909915648,30.661683731050594,武汉农村商业银行24小时自助银行(高潮支行),阳逻街阳光大道249号,湖北省,武汉市,长江新区,金融保险服务;自动提款机;农村商业银行ATM
114.56093093480247,30.66329449335566,中国工商银行24小时自助银行(阳逻开发区支行),阳光大道297号,湖北省,武汉市,阳逻,金融保险服务;自动提款机;中国工商银行ATM
114.57398254776203,30.691466145025668,武汉农村商业银行24小时自助银行(阳逻经济开发区支行),柴泊大道阳逻财富广场,湖北省,武汉市,长江新区,金融保险服务;自动提款机;农村商业银行ATM
114.59900544767497,30.837208940092076,武汉农村商业银行(仓埠支行),骑云街32号,湖北省,武汉市,长江新区,金融保险服务;银行;农村商业银行
114.78529256431268,30.92814894141698,中国邮政储蓄银行(三店营业所),龙丘大街391号,湖北省,武汉市,,金融保险服务;银行;中国邮政储蓄银行
114.70443950354915,30.77626260119983,中国邮政储蓄银行(汪集营业所),生生路31号,湖北省,武汉市,汪集,金融保险服务;银行;中国邮政储蓄银行
114.5645841330876,30.666605841387174,中国邮政储蓄银行24小时自助银行(阳逻支行),阳逻新阳大道,湖北省,武汉市,阳逻,金融保险服务;自动提款机;中国邮政储蓄银行ATM
114.91885770484237,30.83604501684954,武汉农村商业银行(旧街支行),康阳街44号,湖北省,武汉市,旧街,金融保险服务;银行;农村商业银行
114.56199907984598,30.661102946726412,交通银行24小时自助银行(武汉阳逻支行),平江东路35号,湖北省,武汉市,阳逻,金融保险服务;自动提款机;交通银行ATM
114.59823048947948,30.837765830652085,中国邮政储蓄银行(武汉市仓埠支行),仓埠街,湖北省,武汉市,长江新区,金融保险服务;银行;中国邮政储蓄银行
114.73797217421573,30.855653894630105,武汉农村商业银行(张店支行),张店西街210号,湖北省,武汉市,,金融保险服务;银行;农村商业银行
114.92066022725369,30.836578845992026,中国邮政储蓄银行(武汉市旧街营业所),武政路41号,湖北省,武汉市,旧街,金融保险服务;银行;中国邮政储蓄银行
114.7953874370046,30.846374164173504,中国建设银行24小时自助银行(武汉邾城支行),新洲大街94号,湖北省,武汉市,邾城,金融保险服务;自动提款机;中国建设银行ATM
114.5725194565669,30.70706842712519,武汉农村商业银行24小时自助银行(新港支行),农村商业银行(圆梦北路东),湖北省,武汉市,长江新区,金融保险服务;自动提款机;农村商业银行ATM
114.80757198397875,30.843587482393257,中国工商银行24小时自助银行(文昌大道),邾城街文昌大道东龙城华庭三期1号,湖北省,武汉市,邾城,金融保险服务;自动提款机;中国工商银行ATM
114.75293017623756,30.92790225732877,武汉农村商业银行(凤凰支行),三杨路与新凤大道交叉口西20米,湖北省,武汉市,,金融保险服务;银行;农村商业银行
114.66480724206325,30.592665952584593,中国建设银行24小时自助银行,347国道与兴龙街交叉口东南220米,湖北省,武汉市,,金融保险服务;自动提款机;中国建设银行ATM
114.6626370363452,30.80373519735924,武汉农村商业银行(孔埠支行),汪集街孔埠大道26号,湖北省,武汉市,,金融保险服务;银行;农村商业银行
114.7355888077742,30.612600703456057,武汉农村商业银行(大埠支行),刘镇街63号,湖北省,武汉市,,金融保险服务;银行;农村商业银行
114.79213361033146,30.67123064825054,中国邮政储蓄银行(涨渡湖支行),沐家泾北街47号,湖北省,武汉市,,金融保险服务;银行;中国邮政储蓄银行
114.8893505345194,30.999097209074566,武汉农村商业银行(潘塘支行),潘塘路93号,湖北省,武汉市,潘塘,金融保险服务;银行;农村商业银行
114.79570225127571,30.843469309284462,中国建设银行24小时自助银行(邾城支行),农业农村局北门西140米,湖北省,武汉市,邾城,金融保险服务;自动提款机;中国建设银行ATM
114.79762677284064,30.843335505497105,汉口银行24小时自助银行(新洲支行),红旗街4号附近,湖北省,武汉市,邾城,金融保险服务;自动提款机;自动提款机
